freq,items
0.42,20;15;41;29;67;67;?;?
0.52,41;29;25;19;?;?;?;?
0.53,29;19;67;10;?;?;?;?
0.59,28;67;10;67;?;?;?;?
0.61,15;29;25;63;?;?;?;?
0.42,77;29;25;17;?;?;?;?
0.56,41;10;67;19;?;?;?;?
0.44,15;25;19;10;98;?;?;?
0.46,20;77;29;67;10;98;?;?
0.41,15;77;41;28;19;28;?;?
0.56,41;29;10;67;10;?;?;?
0.42,77;63;98;?;?;?;?;?
0.41,77;17;63;?;?;?;?;?
0.71,29;67;10;?;?;?;?;?
0.44,20;19;19;67;98;?;?;?
0.45,20;15;41;19;67;?;?;?
0.6,29;25;67;?;?;?;?;?
0.56,20;77;28;19;?;?;?;?
0.4,15;29;25;28;67;28;?;?
0.41,20;17;67;98;?;?;?;?
0.49,77;10;28;67;98;?;?;?
0.48,20;19;67;19;98;?;?;?
0.42,15;77;63;19;98;?;?;?
0.44,25;63;61;121;?;?;?;?
0.44,15;77;41;19;67;98;?;?
0.46,19;19;28;?;?;?;?;?
0.4,15;77;29;28;121;?;?;?
0.45,41;19;10;28;67;98;?;?
0.44,41;29;25;28;19;98;?;?
0.43,41;29;17;19;67;?;?;?
0.43,29;25;63;67;10;67;?;?
0.48,41;25;67;10;98;?;?;?
0.49,29;17;10;10;?;?;?;?
0.41,20;29;25;19;10;67;98;?
0.57,29;10;67;28;98;?;?;?
0.51,77;10;67;28;?;?;?;?
0.44,15;63;19;19;?;?;?;?
0.49,15;41;29;17;?;?;?;?
0.44,29;25;10;19;67;98;?;?
0.43,15;29;25;67;10;?;?;?
0.46,77;61;121;?;?;?;?;?
0.58,41;10;28;67;98;?;?;?
0.41,63;28;10;19;?;?;?;?
0.42,20;77;41;28;19;98;?;?
0.6,41;29;19;10;98;?;?;?
0.49,20;77;29;10;28;?;?;?
0.44,77;41;29;178;?;?;?;?
0.43,77;25;28;10;?;?;?;?
0.46,20;29;63;67;98;?;?;?
0.48,15;77;41;29;63;?;?;?
0.42,20;15;41;29;19;28;?;?
0.65,19;10;28;?;?;?;?;?
0.5,20;15;10;10;98;?;?;?
0.42,15;41;25;10;?;?;?;?
0.46,41;63;10;67;28;?;?;?
0.67,41;25;28;?;?;?;?;?
0.44,15;77;10;19;67;98;?;?
0.45,41;29;63;67;10;98;?;?
0.65,29;10;28;98;?;?;?;?
0.66,41;67;98;?;?;?;?;?
0.54,77;67;10;?;?;?;?;?
0.42,15;25;63;98;?;?;?;?
0.44,29;63;10;67;28;98;?;?
0.43,41;29;25;10;28;98;?;?
0.4,15;77;28;67;28;67;?;?
0.41,41;25;63;10;19;98;?;?
0.42,41;29;25;28;67;10;98;?
0.46,20;29;63;19;28;?;?;?
0.4,77;28;19;10;67;98;?;?
0.41,41;25;10;28;10;?;?;?
0.46,20;15;28;60;?;?;?;?
0.71,20;28;28;?;?;?;?;?
0.58,29;10;28;10;?;?;?;?
0.56,25;19;98;?;?;?;?;?
0.42,20;29;17;10;?;?;?;?
0.52,77;28;19;98;?;?;?;?
0.41,29;25;28;28;19;?;?;?
0.52,20;10;10;28;?;?;?;?
0.48,20;15;29;10;10;98;?;?
0.4,20;29;63;19;28;67;98;?
0.51,77;29;28;67;?;?;?;?
0.43,15;25;19;28;98;?;?;?
0.43,15;29;28;19;19;?;?;?
0.51,29;10;19;10;98;?;?;?
0.48,29;17;10;28;?;?;?;?
0.45,20;15;41;17;?;?;?;?
0.43,20;41;29;28;60;?;?;?
0.43,20;29;63;59;?;?;?;?
0.48,41;29;63;67;67;?;?;?
0.47,15;27;178;121;?;?;?;?
0.48,15;77;10;67;10;98;?;?
0.44,17;28;28;67;?;?;?;?
0.56,15;29;19;98;?;?;?;?
0.47,17;63;28;?;?;?;?;?
0.46,20;77;67;10;67;?;?;?
0.55,29;25;67;10;?;?;?;?
0.55,20;10;67;19;?;?;?;?
0.5,15;41;19;67;98;?;?;?
