freq,items
0.42,11;3;27;94;81;?;?;?;?
0.57,182;56;170;24;147;?;?;?;?
0.44,56;57;27;81;?;?;?;?;?
0.42,11;29;3;145;24;147;?;?;?
0.52,182;56;5;3;18;?;?;?;?
0.56,11;29;17;22;24;?;?;?;?
0.67,29;5;145;18;170;?;?;?;?
0.61,11;25;22;18;?;?;?;?;?
0.61,11;57;22;24;147;?;?;?;?
0.41,11;69;145;22;170;147;7;143;?
0.79,11;3;18;170;?;?;?;?;?
0.47,25;3;170;?;?;?;?;?;?
0.58,182;69;5;18;?;?;?;?;?
0.51,29;3;145;18;147;?;?;?;?
0.51,182;57;3;170;24;?;?;?;?
0.53,11;56;5;22;170;24;147;?;?
0.81,11;56;5;?;?;?;?;?;?
0.55,57;3;24;147;?;?;?;?;?
0.42,25;69;145;22;?;?;?;?;?
0.54,182;29;145;22;24;?;?;?;?
0.46,56;69;27;?;?;?;?;?;?
0.45,69;3;145;22;147;?;?;?;?
0.45,182;11;5;22;24;147;?;?;?
0.44,11;57;5;22;170;24;147;?;?
0.44,56;22;170;147;143;?;?;?;?
0.45,182;17;22;18;170;147;?;?;?
0.54,11;56;57;145;18;170;24;?;?
0.4,56;29;145;24;?;?;?;?;?
0.48,11;25;17;22;18;?;?;?;?
0.45,182;69;145;18;147;7;?;?;?
0.51,182;56;25;63;18;170;?;?;?
0.42,182;29;3;12;?;?;?;?;?
0.41,11;29;63;5;18;?;?;?;?
0.45,11;29;22;147;7;?;?;?;?
0.46,69;3;22;18;147;?;?;?;?
0.42,182;56;5;145;22;170;17;?;?
0.52,11;22;7;?;?;?;?;?;?
0.41,11;5;145;18;170;7;143;?;?
0.5,182;11;56;5;145;22;?;?;?
0.47,69;57;3;22;170;?;?;?;?
0.44,182;56;5;145;147;7;?;?;?
0.53,182;29;25;22;18;170;?;?;?
0.5,11;29;5;24;147;?;?;?;?
0.44,11;56;3;22;170;7;?;?;?
0.42,17;18;143;?;?;?;?;?;?
0.4,182;25;27;94;?;?;?;?;?
0.56,11;3;145;22;24;?;?;?;?
0.42,182;56;69;57;18;170;147;?;?
0.46,56;69;5;18;24;147;?;?;?
