freq,items
0.41,23;22;108;?
0.43,29;59;21;108
0.53,29;180;60;?
0.45,180;21;22;?
0.52,29;59;60;?
0.45,29;180;59;21
0.44,29;22;108;?
0.45,29;59;22;?
0.42,29;59;23;22
0.46,29;180;22;?
0.47,29;60;108;?
0.41,21;22;108;?
0.56,29;180;59;23
0.41,29;180;60;108
0.45,59;23;108;?
0.42,29;59;21;22
0.45,180;21;108;?
0.5,29;23;108;?
0.45,180;59;21;?
0.43,29;180;21;108
0.45,180;23;108;?
0.44,180;23;22;?
0.46,180;59;60;?
0.41,29;21;22;108
0.43,29;59;108;?
0.5,29;21;108;?
0.51,29;180;21;?
0.64,29;180;23;?
0.42,29;180;23;22
0.51,29;59;21;?
0.44,29;180;108;?
0.4,180;60;23;?
0.44,59;23;22;?
0.56,180;59;23;?
0.41,29;23;22;108
0.42,180;60;108;?
0.4,29;59;60;108
0.42,29;59;23;108
0.63,29;59;23;?
0.49,29;21;22;?
0.75,29;180;59;?
0.42,59;60;108;?
0.43,29;180;21;22
0.43,29;60;21;?
0.43,29;180;23;108
0.45,29;60;23;?
0.44,29;60;22;?
0.45,59;21;108;?
0.4,59;60;23;?
0.45,59;21;22;?
0.46,29;180;59;60
0.49,29;23;22;?
