total,winfreq,items
1,1.0,13;94;23;?;?
3,1.0,20;23;12;79;?
3,1.0,60;12;22;102;?
1,1.0,12;34;108;20;?
1,1.0,4;60;102;?;?
1,1.0,20;28;4;?;?
6,1.0,4;60;28;?;?
2,1.0,34;60;79;?;?
1,1.0,36;21;214;23;?
2,1.0,20;34;28;?;?
9,0.89,92;4;94;?;?
24,0.88,60;34;28;?;?
17,0.76,108;28;94;?;?
4,0.75,22;13;86;?;?
96,0.75,36;108;86;?;?
19,0.74,34;22;79;?;?
31,0.74,12;92;4;?;?
107,0.73,108;12;102;?;?
11,0.73,4;28;214;23;?
100,0.71,21;102;79;?;?
42,0.71,79;28;23;?;?
83,0.7,108;36;214;?;?
243,0.69,108;28;86;?;?
41,0.68,108;20;94;?;?
3,0.67,20;4;102;?;?
3,0.67,28;27;108;13;?
393,0.67,20;102;214;?;?
3,0.67,27;92;22;?;?
3,0.67,36;60;94;?;?
9,0.67,34;13;79;?;?
17,0.65,34;21;13;?;?
39,0.64,60;20;13;?;?
11,0.64,34;94;23;?;?
197,0.64,34;13;214;?;?
163,0.63,92;22;214;?;?
8,0.63,20;22;102;?;?
26,0.62,28;34;12;?;?
281,0.6,12;94;31;?;?
5,0.6,28;94;214;23;?
5,0.6,31;94;23;?;?
57,0.6,36;12;79;?;?
10,0.6,28;60;79;?;?
106,0.59,4;92;23;?;?
63,0.59,108;13;86;?;?
12,0.58,34;20;13;?;?
9,0.56,21;94;13;?;?
11,0.55,20;28;13;?;?
15,0.53,60;102;79;?;?
4,0.5,4;60;20;?;?
2,0.5,4;36;21;?;?
2,0.5,28;13;79;?;?
18,0.44,20;28;23;?;?
24,0.38,79;36;23;?;?
11,0.36,20;4;13;?;?
3,0.33,92;214;94;?;?
3,0.33,4;20;21;?;?
19,0.32,79;13;23;?;?
9,0.22,12;92;21;?;?
5,0.2,22;214;102;21;?
3,0.0,60;36;21;214;?
1,0.0,4;60;13;?;?
1,0.0,28;86;23;?;?
1,0.0,34;4;23;?;?
3,0.0,20;13;23;?;?
1,0.0,60;92;12;23;?
1,0.0,34;21;79;?;?
1,0.0,36;86;214;?;?
1,0.0,4;13;23;?;?
1,0.0,60;28;21;214;13
2,0.0,60;102;94;?;?
