freq,items
0.61,4;79;231;?;?;?;?
0.45,28;180;86;79;?;?;?
0.52,28;27;29;4;?;?;?
0.49,29;59;86;79;?;?;?
0.42,28;27;59;1;?;?;?
0.46,27;29;27;231;?;?;?
0.44,28;27;4;86;1;?;?
0.48,178;29;79;231;?;?;?
0.45,27;29;27;94;231;?;?
0.49,28;29;86;231;?;?;?
0.49,28;29;4;231;?;?;?
0.55,28;27;29;180;?;?;?
0.41,182;28;178;79;?;?;?
0.53,182;27;86;79;?;?;?
0.45,182;28;27;4;79;?;?
0.46,28;29;4;86;231;?;?
0.65,27;29;4;79;?;?;?
0.57,27;180;231;?;?;?;?
0.82,27;4;86;?;?;?;?
0.49,29;180;59;94;?;?;?
0.5,27;27;86;231;?;?;?
0.44,27;178;94;79;?;?;?
0.7,178;180;59;?;?;?;?
0.4,27;29;180;59;1;?;?
0.46,27;59;4;86;?;?;?
0.54,27;29;27;4;?;?;?
0.49,182;27;180;?;?;?;?
0.41,28;178;94;79;1;?;?
0.71,27;180;59;?;?;?;?
0.6,28;178;180;59;?;?;?
0.63,28;178;4;86;79;?;?
0.44,178;27;94;86;231;?;?
0.53,29;59;27;?;?;?;?
0.41,27;29;27;1;?;?;?
0.46,28;29;27;231;?;?;?
0.49,182;28;4;?;?;?;?
0.56,28;59;231;?;?;?;?
0.47,27;178;4;?;?;?;?
0.54,29;4;86;231;?;?;?
0.43,27;180;59;79;?;?;?
0.53,178;27;180;?;?;?;?
0.43,29;27;4;86;79;231;?
0.52,182;27;4;79;?;?;?
0.49,178;59;27;?;?;?;?
0.41,28;29;180;59;27;?;?
0.45,182;28;27;86;79;?;?
0.78,28;27;79;?;?;?;?
0.62,27;27;94;86;?;?;?
0.42,28;178;59;94;?;?;?
0.47,182;178;27;79;?;?;?
0.72,28;29;180;?;?;?;?
0.54,28;178;29;86;79;?;?
0.75,28;27;4;79;?;?;?
0.79,29;4;79;?;?;?;?
0.66,178;29;94;?;?;?;?
0.54,29;180;86;?;?;?;?
0.44,28;178;29;27;86;79;?
0.46,178;4;86;1;?;?;?
0.5,28;94;1;?;?;?;?
0.48,28;178;27;231;?;?;?
0.45,28;178;27;27;94;?;?
0.51,29;180;79;?;?;?;?
0.48,27;27;94;4;86;79;?
0.51,182;27;27;94;?;?;?
0.42,178;29;180;27;?;?;?
0.4,27;29;180;59;27;?;?
0.47,29;27;86;79;231;?;?
0.47,28;27;86;79;1;?;?
0.6,28;178;29;59;?;?;?
0.69,27;29;94;?;?;?;?
0.76,27;27;94;79;?;?;?
0.42,178;27;4;86;1;?;?
0.54,28;29;1;?;?;?;?
0.45,28;29;180;4;?;?;?
0.57,28;94;79;231;?;?;?
0.41,28;27;29;1;?;?;?
0.69,178;29;59;?;?;?;?
0.71,28;178;94;?;?;?;?
0.52,178;27;86;231;?;?;?
0.5,29;180;59;4;?;?;?
0.41,178;180;59;4;86;?;?
0.57,28;178;29;86;?;?;?
0.52,28;29;94;86;?;?;?
0.46,28;180;4;86;?;?;?
0.47,182;178;180;?;?;?;?
0.52,28;27;94;4;79;?;?
0.49,27;180;27;?;?;?;?
0.57,29;27;94;86;79;?;?
0.47,182;28;180;?;?;?;?
0.47,178;29;86;231;?;?;?
0.48,178;4;79;1;?;?;?
0.48,178;27;79;1;?;?;?
0.42,182;28;29;59;?;?;?
0.41,178;29;94;4;79;?;?
0.52,178;27;27;?;?;?;?
0.48,182;180;59;?;?;?;?
0.52,28;27;27;4;?;?;?
0.53,28;178;29;180;59;?;?
0.51,182;29;94;?;?;?;?
0.46,178;29;94;231;?;?;?
0.54,29;27;231;?;?;?;?
0.42,28;178;59;86;?;?;?
0.49,28;94;4;86;79;?;?
0.48,178;27;4;86;231;?;?
0.41,28;178;79;1;?;?;?
0.4,182;28;178;94;79;?;?
0.44,182;28;4;86;79;?;?
0.4,28;29;27;86;231;?;?
0.4,29;27;86;1;?;?;?
0.42,28;178;86;1;?;?;?
0.55,27;27;94;4;?;?;?
0.45,28;29;59;1;?;?;?
0.44,28;27;29;27;94;79;?
0.77,29;94;79;?;?;?;?
0.66,28;178;27;94;79;?;?
0.47,27;29;27;4;86;79;?
0.53,28;4;86;79;231;?;?
0.43,28;27;4;86;79;1;?
0.47,29;180;59;1;?;?;?
0.5,178;27;94;4;86;?;?
0.42,27;59;4;86;79;?;?
0.44,59;27;79;?;?;?;?
0.4,182;28;178;27;94;79;?
0.61,28;29;27;94;79;?;?
0.56,28;29;27;86;?;?;?
0.5,182;27;59;?;?;?;?
0.41,27;29;180;59;4;?;?
0.46,28;178;27;86;231;?;?
0.42,178;180;59;79;?;?;?
0.51,28;27;29;94;?;?;?
0.41,27;180;94;79;?;?;?
0.41,28;178;29;27;4;86;?
0.55,28;178;29;79;?;?;?
0.64,28;178;27;4;?;?;?
0.49,27;59;1;?;?;?;?
0.41,182;178;27;4;86;?;?
0.52,178;94;4;79;?;?;?
0.45,178;59;27;94;?;?;?
0.45,28;178;27;94;4;79;?
0.4,28;178;29;4;231;?;?
0.61,27;79;231;?;?;?;?
0.46,178;27;29;?;?;?;?
0.52,178;29;27;4;?;?;?
0.46,28;27;29;4;86;79;?
0.5,28;178;29;27;79;?;?
0.45,178;59;86;79;?;?;?
0.48,28;27;86;1;?;?;?
0.56,29;94;231;?;?;?;?
0.48,94;86;79;231;?;?;?
0.45,182;28;178;27;?;?;?
0.41,28;180;59;4;79;?;?
0.48,94;86;231;?;?;?;?
0.44,28;29;59;27;?;?;?
0.52,178;27;86;79;231;?;?
0.47,178;29;86;79;231;?;?
0.7,27;27;4;?;?;?;?
0.44,28;178;29;27;4;?;?
0.43,182;27;29;59;?;?;?
0.46,29;180;59;27;94;?;?
0.51,59;86;79;?;?;?;?
0.49,28;27;59;231;?;?;?
0.52,28;178;94;86;79;?;?
0.56,178;79;231;?;?;?;?
0.47,182;28;27;86;?;?;?
0.55,28;27;29;59;?;?;?
0.51,27;86;1;?;?;?;?
0.48,29;27;86;231;?;?;?
0.41,28;178;27;94;4;86;79
0.41,28;27;29;27;86;?;?
0.49,27;180;1;?;?;?;?
0.56,178;4;231;?;?;?;?
0.71,27;27;86;?;?;?;?
0.57,28;178;29;94;?;?;?
0.47,29;94;79;1;?;?;?
0.57,28;79;231;?;?;?;?
0.77,28;27;94;79;?;?;?
0.51,28;27;4;86;231;?;?
0.44,28;94;86;79;231;?;?
0.51,28;27;27;86;79;?;?
0.43,28;178;94;1;?;?;?
0.52,29;94;4;79;?;?;?
0.48,178;27;94;4;86;79;?
0.49,27;29;86;231;?;?;?
0.41,28;180;94;79;?;?;?
0.45,29;59;94;79;?;?;?
0.4,182;28;29;27;?;?;?
0.49,29;180;86;79;?;?;?
0.49,28;29;27;4;86;79;?
0.5,28;27;94;1;?;?;?
0.66,28;178;27;79;?;?;?
0.51,29;180;4;86;?;?;?
0.73,178;4;86;79;?;?;?
0.46,27;29;4;86;231;?;?
0.59,178;27;94;86;79;?;?
0.42,27;29;86;1;?;?;?
0.77,178;94;79;?;?;?;?
0.49,28;27;180;231;?;?;?
0.42,28;180;4;86;79;?;?
0.41,178;180;59;86;79;?;?
0.58,29;59;231;?;?;?;?
0.46,29;27;4;79;231;?;?
0.47,182;28;178;?;?;?;?
0.77,178;27;79;?;?;?;?
0.57,182;4;86;?;?;?;?
0.44,28;27;27;94;86;79;?
0.49,182;178;86;?;?;?;?
0.42,28;178;29;180;231;?;?
0.43,28;29;94;4;79;?;?
0.45,180;59;4;79;?;?;?
0.49,178;59;1;?;?;?;?
0.47,28;27;4;1;?;?;?
0.59,178;29;4;86;79;?;?
0.48,178;79;1;?;?;?;?
0.44,28;29;59;86;?;?;?
0.54,29;4;86;79;231;?;?
0.66,94;86;79;?;?;?;?
0.49,182;29;4;86;?;?;?
0.42,27;94;4;231;?;?;?
0.49,27;27;4;231;?;?;?
0.46,178;27;86;1;?;?;?
0.49,178;180;1;?;?;?;?
0.44,178;180;59;1;?;?;?
0.7,28;29;27;?;?;?;?
0.7,178;27;4;79;?;?;?
0.49,27;178;27;?;?;?;?
0.46,28;59;4;86;?;?;?
0.42,29;180;27;94;79;?;?
0.43,27;29;180;86;?;?;?
0.42,27;180;59;4;86;?;?
0.61,28;178;27;4;79;?;?
0.54,182;86;79;?;?;?;?
0.47,182;178;86;79;?;?;?
0.49,28;29;86;79;231;?;?
0.4,182;86;231;?;?;?;?
0.45,27;59;4;79;?;?;?
0.42,27;178;4;86;79;?;?
0.52,180;27;94;?;?;?;?
0.76,178;27;94;79;?;?;?
0.7,28;178;86;?;?;?;?
0.5,27;59;4;?;?;?;?
0.51,27;94;79;1;?;?;?
0.42,178;29;27;94;4;?;?
0.41,182;29;1;?;?;?;?
0.47,180;59;79;?;?;?;?
0.49,28;27;29;4;79;?;?
0.49,27;29;4;231;?;?;?
0.41,94;4;79;231;?;?;?
0.76,178;4;86;?;?;?;?
0.48,28;178;27;94;231;?;?
0.45,27;180;86;79;?;?;?
0.77,178;4;79;?;?;?;?
0.55,178;94;4;?;?;?;?
0.7,28;29;86;?;?;?;?
0.41,182;28;29;4;?;?;?
0.45,28;29;27;94;231;?;?
0.41,28;29;180;4;86;?;?
0.46,29;59;4;86;79;?;?
