total,winfreq,items
1,1.0,1;94;22;?;?;?
1,1.0,180;178;60;94;182;?
1,1.0,20;178;180;182;79;?
1,1.0,1;20;182;?;?;?
1,1.0,1;182;94;119;?;?
1,1.0,60;180;182;23;?;?
1,1.0,60;4;182;23;?;?
1,1.0,178;59;21;86;182;?
2,1.0,4;28;125;94;?;?
1,1.0,231;21;23;?;?;?
1,1.0,1;131;86;?;?;?
1,1.0,56;57;178;180;?;?
1,1.0,56;57;4;?;?;?
1,1.0,178;59;60;182;79;?
1,1.0,59;27;60;182;23;?
25,0.76,1;182;86;119;?;?
4,0.75,1;60;79;?;?;?
10,0.7,1;58;79;182;9;?
298,0.68,1;59;22;?;?;?
370,0.68,57;58;94;?;?;?
155,0.68,60;182;231;?;?;?
36,0.67,57;58;59;?;?;?
17,0.65,180;182;22;?;?;?
80,0.64,1;131;28;?;?;?
22,0.64,1;60;231;?;?;?
8,0.63,1;59;182;119;?;?
165,0.63,119;182;231;?;?;?
13,0.62,1;31;231;?;?;?
62,0.61,1;231;23;?;?;?
118,0.61,90;182;79;?;?;?
5,0.6,57;58;182;?;?;?
173,0.58,20;182;231;?;?;?
364,0.58,1;182;31;?;?;?
166,0.58,56;57;86;?;?;?
7,0.57,242;27;28;?;?;?
52,0.56,1;36;231;?;?;?
13,0.54,1;182;23;?;?;?
39,0.54,60;21;231;?;?;?
15,0.53,1;21;182;?;?;?
17,0.53,23;182;231;?;?;?
42,0.52,56;34;182;?;?;?
8,0.5,1;21;231;?;?;?
2,0.5,57;182;1;?;?;?
2,0.5,231;28;182;31;?;?
6,0.5,56;178;61;79;?;?
4,0.5,57;178;58;?;?;?
4,0.5,178;180;61;182;79;?
64,0.48,56;34;79;?;?;?
102,0.45,180;242;28;?;?;?
18,0.44,1;60;182;?;?;?
51,0.43,22;86;182;?;?;?
30,0.4,178;125;94;?;?;?
10,0.4,242;27;180;?;?;?
5,0.4,56;57;94;?;?;?
18,0.39,1;231;57;?;?;?
46,0.39,1;36;182;?;?;?
31,0.39,1;34;182;231;?;?
8,0.38,131;182;231;?;?;?
21,0.38,21;182;231;?;?;?
34,0.35,1;60;22;?;?;?
3,0.33,56;34;180;?;?;?
3,0.33,1;34;79;178;182;59
4,0.25,178;131;182;79;?;?
4,0.25,56;180;61;182;79;?
8,0.25,178;36;182;79;?;?
12,0.25,1;59;20;28;79;?
5,0.2,1;178;21;86;?;?
5,0.2,178;108;182;?;?;?
2,0.0,56;1;57;?;?;?
3,0.0,1;178;79;180;31;?
1,0.0,56;1;28;182;231;?
1,0.0,180;28;21;94;182;?
1,0.0,178;180;21;182;23;?
1,0.0,231;60;23;?;?;?
1,0.0,1;180;21;60;?;?
1,0.0,178;59;90;182;?;?
1,0.0,1;59;21;23;?;?
2,0.0,56;31;182;231;?;?
1,0.0,56;178;180;61;94;?
1,0.0,57;28;182;4;?;?
1,0.0,180;28;1;94;36;?
5,0.0,57;182;79;?;?;?
1,0.0,57;180;1;79;?;?
1,0.0,56;57;182;?;?;?
2,0.0,4;21;182;23;?;?
