freq,items
0.41,25;2;151;18;?;?
0.42,25;6;18;170;?;?
0.4,25;22;147;?;?;?
0.53,25;17;18;?;?;?
0.63,29;25;151;?;?;?
0.56,29;17;22;18;?;?
0.44,20;29;63;?;?;?
0.68,29;25;22;?;?;?
0.47,25;17;6;?;?;?
0.4,25;18;147;?;?;?
0.44,17;25;18;170;?;?
0.41,63;6;22;170;?;?
0.41,2;151;18;170;?;?
0.45,13;18;170;?;?;?
0.46,17;25;2;?;?;?
0.43,13;29;17;?;?;?
0.49,29;17;63;?;?;?
0.44,25;6;170;?;?;?
0.45,25;6;18;?;?;?
0.41,13;22;18;?;?;?
0.4,29;25;147;?;?;?
0.41,29;17;6;170;?;?
0.43,2;18;170;?;?;?
0.63,29;25;25;?;?;?
0.61,29;25;2;?;?;?
0.62,29;17;18;170;?;?
0.45,29;17;25;22;?;?
0.54,17;25;151;?;?;?
0.42,17;6;18;?;?;?
0.53,63;2;151;?;?;?
0.42,29;25;6;22;170;?
0.4,25;17;21;?;?;?
0.44,20;22;18;170;?;?
0.43,6;151;22;170;?;?
0.42,63;6;170;?;?;?
0.47,17;25;22;?;?;?
0.4,17;25;6;?;?;?
0.55,25;22;18;170;?;?
0.47,20;25;151;?;?;?
0.44,20;25;18;170;?;?
0.41,20;73;17;?;?;?
0.41,13;25;22;?;?;?
0.5,25;63;6;?;?;?
0.43,17;6;22;?;?;?
0.4,20;63;18;?;?;?
0.56,29;22;18;170;?;?
0.51,29;25;17;22;?;?
0.44,29;6;25;151;?;?
0.44,13;29;25;?;?;?
0.4,13;25;151;?;?;?
0.54,63;22;18;170;?;?
0.43,20;29;17;?;?;?
0.4,29;25;19;185;?;?
0.47,20;2;151;?;?;?
0.48,29;6;25;?;?;?
0.44,29;25;24;?;?;?
0.42,25;25;2;?;?;?
0.66,29;17;22;?;?;?
0.44,6;22;18;170;?;?
0.42,20;17;22;?;?;?
0.44,20;29;25;?;?;?
0.42,29;25;25;22;?;?
0.46,25;17;22;18;?;?
0.42,29;63;6;18;?;?
0.53,25;17;170;?;?;?
0.51,29;25;17;170;?;?
0.66,29;25;22;170;?;?
0.43,25;17;22;18;170;?
0.42,63;6;18;?;?;?
0.54,29;63;25;151;?;?
0.41,29;25;6;18;170;?
0.5,29;6;170;?;?;?
0.4,25;63;25;151;?;?
0.54,29;25;22;18;170;?
0.43,29;25;6;170;?;?
0.4,13;2;151;?;?;?
0.4,29;25;2;170;?;?
0.41,20;17;22;170;?;?
0.5,25;17;18;170;?;?
0.42,13;73;6;?;?;?
0.58,29;25;22;18;?;?
0.51,29;25;63;18;?;?
0.48,29;17;6;151;?;?
0.54,29;63;2;?;?;?
0.44,29;25;6;22;?;?
