total,winfreq,items
3,1.0,34;4;21;?
1,1.0,20;180;21;28
1,1.0,4;180;21;60
1,1.0,20;21;102;?
1,1.0,4;28;23;?
3,1.0,180;20;181;?
1,1.0,28;20;102;?
1,1.0,1;59;23;?
3,1.0,178;59;34;?
1,1.0,36;178;60;?
2,1.0,108;20;28;?
1,1.0,27;20;181;?
10,0.9,34;23;79;?
9,0.89,34;28;102;?
4,0.75,34;60;181;?
4,0.75,4;60;20;?
11,0.73,34;60;94;?
391,0.71,178;180;22;?
14,0.71,180;36;181;?
85,0.69,28;102;22;?
12,0.67,180;28;4;?
3,0.67,178;20;23;?
3,0.67,20;28;94;?
322,0.65,23;20;79;?
188,0.65,4;28;94;?
17,0.65,20;28;4;?
161,0.64,180;94;22;?
14,0.64,178;108;34;?
14,0.64,59;60;181;?
14,0.64,60;20;102;?
139,0.64,1;180;23;?
53,0.64,27;180;61;?
38,0.63,36;28;22;?
256,0.62,60;36;102;?
5,0.6,34;28;22;?
7,0.57,4;60;21;23
86,0.57,20;60;181;?
68,0.57,28;36;102;?
7,0.57,34;28;94;?
7,0.57,27;59;61;?
14,0.57,27;60;181;?
7,0.57,34;27;181;?
78,0.56,178;20;22;?
9,0.56,60;86;23;?
11,0.55,36;94;23;?
92,0.55,180;21;181;?
61,0.54,57;59;28;?
26,0.54,27;180;181;23
44,0.52,20;181;23;?
2,0.5,180;178;60;21
4,0.5,178;36;23;?
2,0.5,28;59;60;20
4,0.5,28;180;36;60
2,0.5,36;28;21;?
4,0.5,60;180;94;86
2,0.5,28;21;102;?
2,0.5,36;21;102;?
2,0.5,34;21;178;?
8,0.5,28;60;102;?
8,0.5,34;21;102;?
13,0.46,36;4;21;?
77,0.44,34;180;178;?
7,0.43,28;60;94;?
3,0.33,36;22;102;?
6,0.33,20;178;180;?
7,0.29,4;21;94;?
4,0.25,28;94;23;?
5,0.2,36;4;23;?
1,0.0,28;34;4;?
1,0.0,34;178;23;?
1,0.0,20;4;21;?
3,0.0,4;60;28;?
1,0.0,20;178;60;?
1,0.0,36;21;181;?
2,0.0,34;59;60;102
1,0.0,27;36;181;?
