total,winfreq,items
1,1.0,34;12;94
2,1.0,25;20;60
2,1.0,25;34;60
1,1.0,187;12;86
1,1.0,34;187;94
1,1.0,88;94;23
1,1.0,9;12;60
1,1.0,25;34;22
1,1.0,25;34;229
1,1.0,25;187;12
1,1.0,88;25;27
6,0.83,88;22;214
11,0.82,25;187;108
9,0.78,88;34;229
77,0.77,9;12;23
4,0.75,9;34;214
4,0.75,9;229;214
16,0.75,21;94;23
25,0.72,88;108;229
6,0.67,187;12;94
6,0.67,9;34;108
38,0.63,187;94;23
8,0.63,17;60;20
51,0.61,25;12;86
5,0.6,88;17;187
36,0.58,4;28;61
7,0.57,25;27;187
11,0.55,17;36;94
11,0.55,17;187;36
56,0.54,88;36;21
20,0.5,9;34;229
2,0.5,25;12;23
16,0.5,28;36;86
4,0.5,34;28;79
4,0.5,36;94;86
2,0.5,9;187;60
28,0.5,25;60;229
2,0.5,34;94;23
2,0.5,88;20;214
2,0.5,12;21;63
3,0.33,36;12;86
3,0.33,17;27;23
4,0.25,25;12;94
1,0.0,17;94;63
3,0.0,25;34;12
1,0.0,28;94;23
1,0.0,88;214;23
4,0.0,4;94;63
1,0.0,4;61;23
2,0.0,88;17;25
1,0.0,17;28;94
1,0.0,63;20;23
1,0.0,20;94;63
2,0.0,32;25;20
