total,winfreq,items
1,1.0,34;21;127;?;?;?;?
1,1.0,56;1;60;182;?;?;?
1,1.0,34;114;31;?;?;?;?
2,1.0,34;53;31;?;?;?;?
1,1.0,56;12;114;4;182;?;?
1,1.0,4;60;31;?;?;?;?
2,1.0,1;4;12;53;182;56;61
1,1.0,4;131;36;182;?;?;?
1,1.0,19;182;23;?;?;?;?
1,1.0,4;60;36;?;?;?;?
1,1.0,20;21;61;?;?;?;?
1,1.0,56;20;61;127;?;?;?
1,1.0,4;182;22;?;?;?;?
1,1.0,36;108;214;?;?;?;?
1,1.0,19;36;23;?;?;?;?
2,1.0,23;182;31;?;?;?;?
1,1.0,56;1;182;214;23;?;?
1,1.0,1;125;31;?;?;?;?
17,0.88,56;34;114;?;?;?;?
7,0.86,108;4;12;?;?;?;?
22,0.86,3;21;53;?;?;?;?
6,0.83,114;36;182;?;?;?;?
55,0.8,131;36;61;?;?;?;?
29,0.79,3;131;53;?;?;?;?
14,0.79,1;114;131;182;?;?;?
32,0.78,90;19;61;?;?;?;?
22,0.77,48;1;27;?;?;?;?
21,0.76,56;22;214;?;?;?;?
16,0.75,34;53;21;?;?;?;?
4,0.75,56;1;114;19;?;?;?
4,0.75,56;114;27;4;182;?;?
158,0.71,61;182;23;?;?;?;?
16,0.69,56;114;3;214;?;?;?
110,0.68,34;53;127;?;?;?;?
12,0.67,31;21;23;?;?;?;?
3,0.67,56;4;60;?;?;?;?
3,0.67,56;1;22;?;?;?;?
3,0.67,4;21;31;?;?;?;?
6,0.67,114;4;31;?;?;?;?
113,0.65,1;108;36;?;?;?;?
14,0.64,60;20;31;?;?;?;?
37,0.62,27;125;31;?;?;?;?
115,0.57,162;27;182;?;?;?;?
91,0.55,34;125;127;?;?;?;?
43,0.53,23;182;127;?;?;?;?
2,0.5,53;21;61;?;?;?;?
2,0.5,36;61;182;127;?;?;?
2,0.5,23;20;127;?;?;?;?
2,0.5,4;20;94;?;?;?;?
2,0.5,61;94;127;?;?;?;?
2,0.5,21;182;53;?;?;?;?
4,0.5,56;114;3;182;?;?;?
2,0.5,114;36;31;?;?;?;?
2,0.5,3;20;94;?;?;?;?
14,0.5,56;34;23;?;?;?;?
8,0.5,56;3;21;?;?;?;?
13,0.46,56;61;21;?;?;?;?
22,0.45,1;90;12;182;127;?;?
57,0.44,90;19;34;?;?;?;?
7,0.43,114;19;20;?;?;?;?
59,0.42,3;125;31;?;?;?;?
5,0.4,60;214;31;?;?;?;?
8,0.38,56;182;53;214;127;?;?
9,0.33,34;4;125;?;?;?;?
3,0.33,34;21;31;?;?;?;?
3,0.33,1;36;12;21;182;23;?
21,0.33,3;131;21;?;?;?;?
3,0.33,1;34;3;31;?;?;?
16,0.31,36;19;131;?;?;?;?
8,0.25,17;182;214;?;?;?;?
4,0.25,36;53;31;?;?;?;?
16,0.25,19;20;21;?;?;?;?
9,0.22,90;36;182;?;?;?;?
5,0.2,1;34;125;214;?;?;?
1,0.0,1;127;61;182;31;?;?
1,0.0,1;60;182;36;?;?;?
2,0.0,34;31;23;?;?;?;?
1,0.0,19;20;53;?;?;?;?
2,0.0,1;36;61;214;127;?;?
1,0.0,131;12;61;182;127;?;?
1,0.0,3;182;23;?;?;?;?
3,0.0,4;90;20;?;?;?;?
1,0.0,56;1;36;182;127;?;?
1,0.0,20;22;182;?;?;?;?
2,0.0,1;27;182;17;?;?;?
1,0.0,61;21;23;?;?;?;?
1,0.0,1;20;94;182;?;?;?
1,0.0,19;61;21;?;?;?;?
1,0.0,23;20;31;?;?;?;?
1,0.0,56;1;53;182;127;?;?
1,0.0,34;131;182;127;?;?;?
1,0.0,60;20;21;182;?;?;?
1,0.0,56;34;60;?;?;?;?
4,0.0,31;36;127;?;?;?;?
1,0.0,3;61;23;?;?;?;?
1,0.0,1;60;182;4;?;?;?
1,0.0,56;21;53;?;?;?;?
