freq,items
0.4,1;56;69;57;?
0.41,41;180;59;?;?
0.41,41;1;23;102;?
0.41,29;56;69;57;?
0.43,1;56;69;?;?
0.44,180;23;102;?;?
0.43,41;1;27;?;?
0.43,29;56;57;?;?
0.44,59;23;102;?;?
0.41,1;69;57;?;?
0.48,29;180;1;?;?
0.44,29;1;56;?;?
0.52,29;27;102;?;?
0.42,29;1;56;69;?
0.42,29;69;57;?;?
0.42,23;27;102;?;?
0.43,29;1;69;?;?
0.58,41;29;1;?;?
0.46,29;180;27;?;?
0.43,1;56;57;?;?
0.43,29;180;23;102;?
0.42,180;59;1;?;?
0.41,29;1;56;57;?
0.49,29;1;27;102;?
0.56,29;1;23;?;?
0.46,29;59;27;?;?
0.55,1;23;102;?;?
0.42,41;1;23;?;?
0.51,1;27;102;?;?
0.45,29;180;23;?;?
0.43,29;59;23;102;?
0.42,29;23;27;102;?
0.44,29;1;57;?;?
0.42,41;23;102;?;?
0.45,29;1;23;27;?
0.42,41;29;180;?;?
0.57,29;1;27;?;?
0.54,29;1;102;?;?
0.54,29;1;23;102;?
0.41,1;23;27;102;?
0.41,41;1;102;?;?
0.41,180;27;102;?;?
0.4,29;1;23;27;102
0.47,29;59;1;?;?
0.42,29;180;59;1;?
0.43,29;59;102;?;?
0.5,182;29;1;?;?
0.44,29;180;102;?;?
0.48,29;23;27;?;?
0.45,29;59;23;?;?
0.42,41;29;59;?;?
0.41,56;69;57;?;?
0.44,29;56;69;?;?
0.57,29;23;102;?;?
0.41,59;27;102;?;?
0.46,1;23;27;?;?
0.6,29;180;59;?;?
